,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,X,partner_sex,,
231,1,9:13:43 AM,,mount,:0,"8,",y,n,y,,I,isolated,U,NA,female,,
212,1,8:23:23 AM,,mount,:1,"7,",y,y,NA,,K,isolated,T,NA,female,,
188,1,8:35:05 AM,,mount,",3","6,",n,NA,y,,G,isolated,S,NA,female,,
173,2,11:22:28 AM,11:23:43 AM,insemination,",4","4,",n,NA,n,"Weird sideways mating, could be considered same event as above, weird position for a while but I think it was a proper insemination by the end",D,social,Q,NA,female,,
225,1,8:52:46 AM,,mount,",7","8,",y,n,y,,L,isolated,U,NA,female,,
229,1,1:25:42 PM,,mount,",9","8,",y,y,NA,,F,social,U,NA,female,,
230,1,1:33:23 PM,,mount,",9","8,",y,y,NA,pressed right side to wall,F,social,U,NA,female,,
57,2,2:10:53 PM,,mount,",1",",3",,,,,C,social,G,NA,male,,
189,1,10:19:00 AM,10:19:59 AM,insemination,",3","6,",n,NA,n,,G,isolated,S,NA,female,,
190,1,11:44:48 AM,,mount,",3","6,",n,NA,y,,G,isolated,S,NA,female,,
191,1,11:47:39 AM,,mount,",3","6,",n,NA,y,,G,isolated,S,NA,female,,
192,1,12:03:01 PM,,mount,",3","6,",y,n,y,,G,isolated,S,NA,female,,
193,1,1:06:18 PM,,mount,",3","6,",n,NA,y,,G,isolated,S,NA,female,,
205,1,8:35:40 AM,,mount,",3","7,",n,NA,y,,G,isolated,T,NA,female,,
141,2,10:13:23 AM,,mount,",5",:7,,,,,E,social,B,NA,male,,
195,2,2:18:39 PM,,mount,",5","6,",y,n,y,,E,social,S,NA,female,,
89,2,12:45:44 PM,,mount,",7",",8",,,,,L,isolated,J,NA,male,,
23,2,12:34:42 PM,,mount,",8",7:00,y,n,y,,J,isolated,N,NA,female,,
76,2,12:31:54 PM,,mount,",9",",7",,,,,F,social,L,NA,male,,
92,2,12:36:41 PM,,mount,",9",",8",,,,,F,social,J,NA,male,,
232,1,9:14:52 AM,,mount,:0,"8,",n,NA,y,,I,isolated,U,NA,female,,
65,2,10:14:40 AM,,mount,:0,",5",,,,,I,isolated,E,NA,male,,
202,2,2:16:21 PM,,mount,:7,"6,",y,n,y,,B,social,S,NA,female,,
58,2,2:38:43 PM,,mount,",1",",3",,,,,C,social,G,NA,male,,
61,2,10:31:06 AM,,mount,",1",",5",,,,,C,social,E,NA,male,,
240,1,8:40:08 AM,,mount,",3","9,",y,y,NA,,G,isolated,V,NA,female,,
56,2,9:47:36 AM,,mount,",3",",1",,,,,G,isolated,C,NA,male,,
19,2,9:07:29 AM,,mount,",6",7:00,n,NA,y,,H,isolated,N,NA,female,,
20,2,10:19:32 AM,,mount,",6",7:00,n,NA,y,,H,isolated,N,NA,female,,
98,2,12:40:31 PM,,mount,",7",",9",,,,,L,isolated,F,NA,male,,
24,2,12:34:56 PM,,mount,",8",7:00,y,n,y,,J,isolated,N,NA,female,,
93,2,12:37:04 PM,,mount,",9",",8",,,,,F,social,J,NA,male,,
233,1,8:10:13 AM,8:12:14 AM,insemination,:1,"8,",n,NA,n,,K,isolated,U,NA,female,,
120,1,8:06:31 AM,,mount,",0",:1,,,,,A,social,K,NA,male,,
121,1,9:18:45 AM,,mount,",0",:1,,,,,A,social,K,NA,male,,
1,2,12:55:48 PM,12:56:44 PM,insemination,",0",1:00,y,n,n,,A,social,X,NA,female,,
2,2,1:38:39 PM,1:39:14 PM,insemination,",0",1:00,n,NA,n,,A,social,X,NA,female,,
217,2,2:46:08 PM,2:46:35 PM,insemination,",0","8,",n,NA,n,,A,social,U,NA,female,,
21,2,11:08:37 AM,,mount,",6",7:00,n,NA,y,,H,isolated,N,NA,female,,
222,2,11:24:52 AM,,mount,",6","8,",n,NA,y,,H,isolated,U,NA,female,,
22,2,11:21:10 AM,,mount,",6",7:00,y,y,n,,H,isolated,N,NA,female,,
142,2,1:25:21 PM,,mount,",6",:7,Y,Y,NA,,H,isolated,B,NA,male,,
223,2,1:25:40 PM,,mount,",6","8,",Y,Y,NA,pressed right side to wall,H,isolated,U,NA,female,,
125,2,11:13:50 AM,,mount,",6",:1,,,,,H,isolated,K,NA,male,,
126,2,12:00:00 AM,,mount,",6",:1,,,,,H,isolated,K,NA,male,,
196,2,1:34:18 PM,1:34:44 PM,insemination,",7","6,",y,n,n,,L,isolated,S,NA,female,,
106,2,2:30:31 PM,,mount,",8",",9",,,,,J,isolated,F,NA,male,,
197,2,11:55:17 AM,,mount,",8","6,",n,NA,y,,J,isolated,S,NA,female,,
186,2,2:12:23 PM,,mount,",9","5,",n,NA,y,,F,social,R,NA,female,,
198,2,12:26:28 PM,12:27:13 PM,insemination,",9","6,",n,NA,n,,F,social,S,NA,female,,
199,2,1:17:38 PM,,mount,",9","6,",Y,Y,NA,,F,social,S,NA,female,,
66,2,12:31:00 PM,,mount,:0,",5",,,,,I,isolated,E,NA,male,,
201,2,2:13:15 PM,,mount,:0,"6,",y,n,y,,I,isolated,S,NA,female,,
234,1,8:52:39 AM,,mount,:1,"8,",y,y,NA,,K,isolated,U,NA,female,,
235,1,9:13:52 AM,9:14:33 AM,insemination,:1,"8,",n,NA,n,,K,isolated,U,NA,female,,
236,1,9:32:24 AM,,mount,:1,"8,",y,y,NA,,K,isolated,U,NA,female,,
25,2,2:21:19 PM,2:22:13 PM,insemination,:1,7:00,y,n,n,,K,isolated,N,NA,female,,
163,2,9:54:01 AM,,mount,",1","3,",,,,,C,social,P,NA,female,,
204,2,2:41:43 PM,2:42:28 PM,insemination,",1","7,",y,n,n,,C,social,T,NA,female,,
239,2,10:30:28 AM,,mount,",1","9,",n,NA,y,,C,social,V,NA,female,,
206,2,9:52:50 AM,,mount,",3","7,",n,NA,y,,G,isolated,T,NA,female,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
