,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
37,1,8:27:26 AM,,",1",",7",,,,mount,,B,social,F,male
38,1,8:28:29 AM,,",9",",5",,,,mount,,A,social,C,male
39,1,8:28:30 AM,,",5",",2",,,,mount,,C,social,G,male
40,1,8:28:37 AM,,",5",",2",,,,mount,,C,social,G,male
41,1,8:30:54 AM,,",7","6,",n,NA,y,mount,,F,isolated,N,female
42,1,8:32:29 AM,,",2","2,",n,NA,y,mount,,G,isolated,K,female
43,1,8:32:42 AM,8:36:53 AM,",5","2,",n,NA,n,insemination,,C,social,K,female
44,1,8:32:56 AM,,",9",",2",,,,mount,,A,social,G,male
45,1,8:33:41 AM,,",2",",5",,,,mount,,G,isolated,C,male
46,1,8:34:39 AM,,",2",",5",,,,mount,,G,isolated,C,male
47,1,8:37:45 AM,,",7","1,",y,y,NA,mount,,F,isolated,J,female
48,1,8:38:56 AM,8:39:46 AM,",2","2,",n,NA,n,insemination,,G,isolated,K,female
49,1,8:39:22 AM,,",7","5,",n,NA,y,mount,,F,isolated,M,female
50,1,8:40:00 AM,,",5",",2",,,,mount,,C,social,G,male
51,1,8:42:22 AM,8:43:07 AM,",2","0,",n,NA,n,insemination,,G,isolated,I,female
52,1,8:42:45 AM,,",5",",2",,,,mount,,C,social,G,male
53,1,8:46:15 AM,,",2","0,",y,y,NA,mount,,G,isolated,I,female
54,1,8:47:21 AM,8:47:54 AM,",9","0,",n,NA,n,insemination,,A,social,I,female
55,1,8:48:30 AM,,",9",",5",,,,mount,,A,social,C,male
56,1,8:49:12 AM,,",1","6,",n,NA,y,mount,,B,social,N,female
57,1,8:50:47 AM,,",1",",7",,,,mount,,B,social,F,male
58,1,8:50:57 AM,,",7","5,",n,NA,y,mount,,F,isolated,M,female
59,1,8:51:09 AM,,",1","5,",n,NA,y,mount,,B,social,M,female
60,1,8:51:27 AM,,",2",",5",,,,mount,,G,isolated,C,male
