,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex,
282,2,1:54:00 PM,,",4",",2",,,,mount,,G,isolated,D,male,
283,2,1:54:01 PM,,",4",",5",,,,mount,,G,isolated,B,male,
277,2,1:42:58 PM,,",8",",5",,,,mount,,C,social,B,male,
285,2,2:07:14 PM,,",4",",8",,,,mount,,G,isolated,C,male,
263,2,1:13:41 PM,,",7","8,",y,y,NA,mount,,F,isolated,N,female,
267,2,1:15:37 PM,,",0",",7",,,,mount,,H,isolated,F,male,
290,2,2:17:31 PM,,",7","8,",y,y,NA,mount,,F,isolated,N,female,
192,2,9:12:21 AM,,",7",",0",,,,mount,,F,isolated,H,male,
193,2,9:18:30 AM,,",7",",0",,,,mount,,F,isolated,H,male,
196,2,9:27:36 AM,,",7",",0",,,,mount,,F,isolated,H,male,
205,2,10:23:07 AM,,",7",",0",,,,mount,,F,isolated,H,male,
257,2,1:05:45 PM,,",9",",2",,,,mount,,E,isolated,D,male,
269,2,1:16:52 PM,,",9",",4",,,,mount,,E,isolated,G,male,
296,2,2:30:46 PM,,",5",",9",,,,mount,,B,social,E,male,
293,2,2:28:17 PM,,",7",",0",,,,mount,,F,isolated,H,male,
297,2,2:30:58 PM,,",7",",0",,,,mount,,F,isolated,H,male,
294,2,2:30:16 PM,,",9",",4",,,,mount,,E,isolated,G,male,
300,2,2:37:36 PM,,",8",",9",,,,mount,,C,social,E,male,
298,2,2:31:05 PM,,",7",",8",,,,mount,,F,isolated,C,male,
302,2,3:07:35 PM,,",5",",4",,,,mount,,B,social,G,male,
303,2,3:08:01 PM,,",7",",0",,,,mount,,F,isolated,H,male,
295,2,2:30:34 PM,,",9",",4",,,,mount,,E,isolated,G,male,
305,2,3:10:26 PM,,",9",",2",,,,mount,"End of day temp: 26.0,  51% RH",E,isolated,D,male,
