replicate,day,start_time,end_time,focal,partner,partner_avoid,avoid_success,male_abort,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,2,11:40:25 AM,,",0",",8",,,,mount,,E,isolated,F,male
1,2,11:40:33 AM,,",0",",7",,,,mount,,E,isolated,G,male
1,2,11:42:21 AM,11:43:04 AM,",9","8,",n,NA,n,insemination,,B,social,O,female
1,2,11:42:34 AM,,",7",",0",,,,mount,,G,isolated,E,male
1,2,11:45:04 AM,,",9",",2",,,,mount,,B,social,C,male
1,2,11:47:58 AM,,",8","5,",y,y,NA,mount,,F,isolated,M,female
1,2,11:50:00 AM,,",9",",2",,,,mount,,B,social,C,male
1,2,11:50:29 AM,,",2","2,",y,n,y,mount,,C,social,K,female
1,2,11:52:01 AM,,",9",",2",,,,mount,,B,social,C,male
1,2,11:54:13 AM,,",4","1,",y,y,NA,mount,,A,social,J,female
1,2,11:54:27 AM,11:54:52 AM,",4","1,",n,NA,n,insemination,,A,social,J,female
1,2,11:54:44 AM,,",1",",4",,,,mount,,D,social,A,male
1,2,12:06:37 PM,,",8",",0",,,,mount,,F,isolated,E,male
1,2,12:06:51 PM,12:07:35 PM,",8","6,",N,NA,N,insemination,,F,isolated,N,female
1,2,12:07:54 PM,,",0",",8",,,,mount,,E,isolated,F,male
1,2,12:08:50 PM,,",9","2,",N,NA,Y,mount,,B,social,K,female
1,2,12:10:47 PM,,",9","2,",N,NA,Y,mount,,B,social,K,female
1,2,12:11:08 PM,,",3","6,",Y,N,Y,mount,,H,isolated,N,female
1,2,12:11:31 PM,,",2","2,",N,NA,Y,mount,,C,social,K,female
1,2,12:12:05 PM,,",9",",2",,,,mount,,B,social,C,male
1,2,12:12:58 PM,,",0",",8",,,,mount,,E,isolated,F,male
1,2,12:13:02 PM,,",7","6,",N,NA,Y,mount,,G,isolated,N,female
1,2,12:13:44 PM,,",7",",0",,,,mount,,G,isolated,E,male
1,2,12:16:15 PM,,",0",",7",,,,mount,,E,isolated,G,male
1,2,12:16:48 PM,,",8",",0",,,,mount,,F,isolated,E,male
1,2,12:18:15 PM,,",4",",1",,,,mount,,A,social,D,male
1,2,12:19:11 PM,,",4",",1",,,,mount,,A,social,D,male
1,2,12:19:13 PM,,",9",",9",,,,mount,,B,social,B,male
1,2,12:19:15 PM,,",4","1,",N,NA,Y,mount,,A,social,J,female
1,2,12:19:21 PM,,",9",",4",,,,mount,,B,social,A,male
1,2,12:19:30 PM,,",4","1,",Y,Y,NA,mount,,A,social,J,female
1,2,12:29:38 PM,12:30:03 PM,",2","2,",Y,N,Y,mount,,C,social,K,female
1,2,12:34:41 PM,12:35:16 PM,",3","8,",N,NA,N,insemination,,H,isolated,O,female
