"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"384",2,"2:10:38 PM","",",7",",8","","","","mount","","G","isolated","F","male"
"385",2,"2:12:54 PM","",",9","9,","n",NA,"y","mount","","B","social","P","female"
"386",2,"2:12:59 PM","",",2","9,","n",NA,"y","mount","","C","social","P","female"
"387",2,"2:13:37 PM","",",2","9,","n",NA,"n","insemination","","C","social","P","female"
"388",2,"2:14:20 PM","",",2","1,","y","y",NA,"mount","","C","social","J","female"
"389",2,"2:15:14 PM","",",9",",2","","","","mount","","B","social","C","male"
"390",2,"2:15:15 PM","",",2","9,","n",NA,"y","mount","","C","social","P","female"
"391",2,"2:15:22 PM","",",4","9,","n",NA,"y","mount","","A","social","P","female"
"392",2,"2:16:34 PM","",",2","9,","n",NA,"y","mount","","C","social","P","female"
"393",2,"2:16:35 PM","",",9","9,","n",NA,"y","mount","","B","social","P","female"
"394",2,"2:16:54 PM","",",1","9,","n",NA,"y","mount","","D","social","P","female"
"395",2,"2:16:55 PM","",",4","1,","y","y",NA,"mount","","A","social","J","female"
"396",2,"2:17:45 PM","",",1","9,","n",NA,"n","insemination","","D","social","P","female"
"397",2,"2:19:52 PM","",",9",",2","","","","mount","","B","social","C","male"
"398",2,"2:20:54 PM","",",9","9,","y","n","y","mount","","B","social","P","female"
"399",2,"2:24:29 PM","",",2","9,","y","y",NA,"mount","","C","social","P","female"
"400",2,"2:28:03 PM","",",9","1,","y","y",NA,"mount","","B","social","J","female"
"401",2,"2:31:40 PM","",",1","1,","n",NA,"y","mount","","D","social","J","female"
"402",2,"2:32:31 PM","",",2","1,","y","y",NA,"mount","","C","social","J","female"
"403",2,"2:32:31 PM","",",2","1,","y","n","y","mount","","C","social","J","female"
"404",2,"2:34:18 PM","",",9",",1","","","","mount","","B","social","D","male"
"405",2,"2:38:46 PM","",",9",",1","","","","mount","","B","social","D","male"
"406",2,"2:39:23 PM","",",8","6,","y","y",NA,"mount","","F","isolated","N","female"
"407",2,"2:40:00 PM","",",9","1,","y","y",NA,"mount","","B","social","J","female"
"408",2,"2:40:24 PM","",",9",",4","","","","mount","","B","social","A","male"
"409",2,"2:40:54 PM","",",2","1,","y","n","y","mount","","C","social","J","female"
"410",2,"2:43:15 PM","",",2","1,","y","y",NA,"mount","","C","social","J","female"
"411",2,"2:47:38 PM","",",4",",1","","","","mount","","A","social","D","male"
"412",2,"2:54:12 PM","",",9",",1","","","","mount","","B","social","D","male"
"413",2,"2:54:44 PM","",",3","0,","y","y",NA,"mount","","H","isolated","I","female"
"414",2,"3:35:38 PM","",",2",",9","","","","mount","","C","social","B","male"
"415",2,"3:35:51 PM","",",2",",9","","","","mount","","C","social","B","male"
"416",2,"3:36:26 PM","",",4",",9","","","","mount","","A","social","B","male"
"417",2,"3:37:27 PM","",",3","8,","y","y",NA,"mount","","H","isolated","O","female"
"418",2,"3:38:14 PM","3:38:35 PM",",3","8,","y","n","n","insemination","","H","isolated","O","female"
"419",2,"3:41:21 PM","",",3","8,","n",NA,"y","mount","","H","isolated","O","female"
"420",2,"3:51:37 PM","",",7","6,","y","y",NA,"mount","","G","isolated","N","female"
