day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
2,12:30:57 PM,,",8",",4",,,,mount,
2,12:33:55 PM,,",2","0,",n,NA,y,mount,
2,12:37:43 PM,,",4",",9",,,,mount,
2,12:37:51 PM,,",5",",4",,,,mount,
2,12:38:18 PM,,",2","8,",y,n,y,mount,
2,12:38:50 PM,,",4",",5",,,,mount,
2,12:43:13 PM,,",8","8,",y,y,NA,mount,
2,12:44:55 PM,12:45:27 PM,",8","8,",n,NA,n,insemination,
2,12:47:30 PM,,",2","8,",y,y,NA,mount,
2,12:50:47 PM,,",4",",9",,,,mount,
2,12:50:57 PM,,",5",",4",,,,mount,
2,12:51:17 PM,,",4",",2",,,,mount,
2,12:51:59 PM,,",5",",2",,,,mount,
2,12:52:13 PM,,",8",",4",,,,mount,
2,12:52:24 PM,,",5",",8",,,,mount,
2,12:52:49 PM,,",4",",5",,,,mount,
2,12:53:14 PM,,",4",",9",,,,mount,
2,1:03:58 PM,,",5","0,",n,NA,y,mount,
2,1:04:57 PM,,",9",",8",,,,mount,
2,1:05:06 PM,,",8","0,",n,NA,y,mount,
2,1:05:20 PM,,",1","3,",n,NA,y,mount,
2,1:05:45 PM,,",9",",2",,,,mount,
2,1:07:51 PM,,",2","0,",n,NA,y,mount,
2,1:08:09 PM,,",9","0,",n,NA,y,mount,
2,1:09:56 PM,,",4","0,",n,NA,y,mount,
2,1:13:20 PM,,",5",",8",,,,mount,
2,1:13:27 PM,,",8",",9",,,,mount,
2,1:13:41 PM,,",7","8,",y,y,NA,mount,
2,1:13:51 PM,,",0",",7",,,,mount,
2,1:13:59 PM,,",0",",7",,,,mount,
2,1:14:55 PM,,",5",",8",,,,mount,
2,1:15:37 PM,,",0",",7",,,,mount,
2,1:16:32 PM,,",0","0,",y,y,NA,mount,
2,1:16:52 PM,,",9",",4",,,,mount,
2,1:17:14 PM,,",0","7,",n,NA,y,mount,
2,1:28:16 PM,1:29:02 PM,",1","3,",n,NA,n,insemination,
2,1:30:32 PM,,",8",",2",,,,mount,
2,1:30:41 PM,,",5",",2",,,,mount,
2,1:35:45 PM,,",2",",9",,,,mount,
2,1:35:53 PM,,",5",",2",,,,mount,
2,1:41:22 PM,,",5","0,",y,y,NA,mount,
2,1:42:58 PM,,",8",",5",,,,mount,
2,1:43:12 PM,,",5",",4",,,,mount,
2,1:46:19 PM,,",5",",9",,,,mount,
2,1:48:49 PM,,",5",",2",,,,mount,
2,1:53:51 PM,,",5",",2",,,,mount,
2,1:54:00 PM,,",4",",2",,,,mount,
2,1:54:01 PM,,",4",",5",,,,mount,
2,2:06:26 PM,,",8","0,",n,NA,y,mount,
2,2:07:14 PM,,",4",",8",,,,mount,
2,2:09:43 PM,,",7","8,",n,NA,y,mount,
2,2:10:50 PM,,",0","8,",n,NA,y,mount,
2,2:12:55 PM,,",7","8,",n,NA,y,mount,
2,2:14:22 PM,,",7","8,",n,NA,y,mount,
2,2:17:31 PM,,",7","8,",y,y,NA,mount,
2,2:19:58 PM,,",7","8,",n,NA,y,mount,
2,2:28:17 PM,,",7",",0",,,,mount,
2,2:30:16 PM,,",9",",4",,,,mount,
2,2:30:34 PM,,",9",",4",,,,mount,
2,2:30:46 PM,,",5",",9",,,,mount,
2,2:30:58 PM,,",7",",0",,,,mount,
2,2:31:05 PM,,",7",",8",,,,mount,
2,2:34:27 PM,,",9","0,",n,NA,y,mount,
2,2:37:36 PM,,",8",",9",,,,mount,
2,2:43:05 PM,,",7","8,",n,NA,y,mount,
2,3:07:35 PM,,",5",",4",,,,mount,
2,3:08:01 PM,,",7",",0",,,,mount,
2,3:09:40 PM,,",9","0,",y,n,y,mount,
2,3:10:26 PM,,",9",",2",,,,mount,"End of day temp: 26.0,  51% RH"
